Account,date,daily_pnl,n_trades,n_realized_trades,avg_trade_size_usd,total_volume_usd,n_long,n_short,total_fees,win_rate,n_closed,long_short_ratio,value,classification,sentiment_binary,activity_segment,size_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0,5089.718248587571,900880.13,0,177,167.796055,,,0.0,76.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0,7976.664411764705,542413.1799999999,0,68,67.883615,,,0.0,90.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0,23734.5,949380.0,0,40,94.93798300000002,,,0.0,83.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,12,28186.666666666668,338240.0,0,12,33.823995,0.0,12.0,0.0,94.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,12,17248.14814814815,465700.0,0,27,104.62249,1.0,12.0,0.0,79.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,82,16058.536341463414,1316799.98,0,82,131.679967,0.0,82.0,0.0,77.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0,48561.68565217392,1116918.77,0,23,390.921553,,,0.0,84.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,33,36736.36242424243,1212299.96,0,33,121.229992,0.0,33.0,0.0,72.0,Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,112,11410.954021505377,5306093.62,0,465,780.33644,0.20535714285714285,112.0,0.0,77.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,28,9400.588039215687,479429.99,0,51,23.971493,1.0,28.0,0.0,76.0,Extreme Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,9,185847.0,1858470.0,0,10,92.923496,1.0,9.0,0.0,60.0,Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,371,23593.019856972587,19794543.66,571,268,2355.038296,0.6900269541778976,371.0,2.1305970149253732,44.0,Fear,Fear,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,111,10576.687156308852,5616220.88,0,531,704.19937,0.7477477477477478,111.0,0.0,72.0,Greed,Greed,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,78,26585.06338095238,5582863.31,0,210,700.101577,1.0,78.0,0.0,54.0,Neutral,Neutral,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,132,10161.056241134751,1432708.93,0,141,0.0,1.0,132.0,0.0,46.0,Neutral,Neutral,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,16,32032.5,1537560.0,0,48,0.0,1.0,16.0,0.0,43.0,Fear,Fear,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,0,134600.00166666668,807600.01,0,6,0.0,,,0.0,47.0,Neutral,Neutral,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,31,27178.041694915253,1603504.46,0,59,561.226533,1.0,31.0,0.0,49.0,Neutral,Neutral,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,93,13233.776894977169,2898197.14,0,219,555.888761,1.0,93.0,0.0,25.0,Fear,Fear,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,1,24958.908545454546,1372739.97,0,55,137.273975,1.0,1.0,0.0,16.0,Extreme Fear,Fear,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,36,2985.797555555556,134360.89,0,45,6.71802,1.0,36.0,0.0,20.0,Extreme Fear,Fear,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,540,8371.136099843994,5365898.24,0,641,268.294625,1.0,540.0,0.0,33.0,Fear,Fear,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,4,79640.0,398200.0,0,5,39.819998,1.0,4.0,0.0,45.0,Neutral,Neutral,Moderate,Large size,Average
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,31,21491.640322580646,666240.85,0,31,66.62407,1.0,31.0,0.0,43.0,Fear,Fear,Moderate,Large size,Average
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,46,2469.9509090909087,135847.3,8,47,34.68082399,1.0,46.0,0.1702127659574468,84.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0,0.06,0.06,0,1,0.0,,,0.0,81.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,0,1426.8700000000001,48513.58,34,0,1.31668822,,,,72.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,25,2001.101153846154,52028.630000000005,0,26,5.2028479999999995,1.0,25.0,0.0,75.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,0,1131.888695652174,52066.88,46,0,1.4383267,,,,78.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,63,852.88625,54584.72,0,64,19.104602,1.0,63.0,0.0,78.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,15,1913.523898305085,112897.91,44,15,20.81460217,1.0,15.0,2.933333333333333,81.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0,0.11,0.11,0,1,0.0,,,0.0,75.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,21,10051.199411764705,341740.77999999997,34,0,119.60926,1.0,21.0,,74.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,0,2845.9646153846156,36997.54,13,0,61.51029,,,,61.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,17,2440.6282352941175,41490.68,0,17,14.521732,1.0,17.0,0.0,75.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,28,2154.3915384615384,84021.26999999999,10,29,89.144541,1.0,28.0,0.3448275862068966,77.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,80,2194.294758064516,272092.55,43,81,124.96169717000001,1.0,80.0,0.5308641975308642,77.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,198,1737.369557522124,588968.28,141,198,108.05738221,1.0,198.0,0.7121212121212122,75.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,4,2398.331666666667,129509.91,50,4,24.25559825,1.0,4.0,12.5,75.0,Extreme Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,0,1519.465681818182,66856.49,44,0,1.05928092,,,,71.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,56,1317.0667857142857,73755.74,0,56,25.814472,1.0,56.0,0.0,72.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,0,1602.9452173913044,73735.48,46,0,1.16815524,,,,72.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,55,1474.6896363636365,81107.93000000001,0,55,28.387735,1.0,55.0,0.0,70.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,25,2094.719358974359,163388.11,53,25,29.90369878,1.0,25.0,2.12,68.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,246,2792.42166344294,1443682.0,307,210,487.25693852,0.9471544715447154,246.0,1.4619047619047618,60.0,Greed,Greed,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,124,612.1092741935485,75901.55,0,124,26.565471000000002,0.0,124.0,0.0,47.0,Neutral,Neutral,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,127,2687.4032704402516,427297.12,158,1,149.553903,1.0,127.0,158.0,46.0,Neutral,Neutral,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,160,52,1641.2224999999999,262595.6,108,52,34.19572673,1.0,52.0,2.076923076923077,49.0,Neutral,Neutral,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,1,1,82910.81,82910.81,0,1,29.018782,0.0,1.0,0.0,25.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,52,0,1462.824423076923,76066.87,52,0,1.35322108,,,,16.0,Extreme Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110,50,1999.099181818182,219900.91,60,50,53.50649472,1.0,50.0,1.2,33.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,65,10,1756.5103076923076,114173.17,55,10,20.67737314,0.0,10.0,5.5,15.0,Extreme Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,37,0,1499.4978378378378,55481.42,37,0,1.26292469,,,,34.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,47,47,1225.1170212765958,57580.5,0,47,20.153151,1.0,47.0,0.0,28.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,65,57,2676.518153846154,173973.68,8,57,22.11483517,1.0,57.0,0.14035087719298245,27.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,53,52,3326.2756603773582,176292.61,1,52,41.25995296,0.9807692307692307,52.0,0.019230769230769232,20.0,Extreme Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,53,52,2184.328113207547,115769.39,1,52,20.961068,1.0,52.0,0.019230769230769232,34.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,27,10,4259.311481481482,115001.41,17,10,20.268314959999998,0.0,10.0,1.7,45.0,Neutral,Neutral,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,42,0,1460.115,61324.83,42,0,1.54451693,,,,44.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,97,97,580.479381443299,56306.5,0,97,19.707219000000002,0.0,97.0,0.0,26.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,155,83,730.8744516129032,113285.54,72,83,20.92763202,1.0,83.0,0.8674698795180723,34.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,1,0,54768.6,54768.6,1,0,0.456405,,,,25.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,1,0,16.37,16.37,1,0,0.00035346,,,,38.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,88,88,780.4484090909092,68679.46,0,88,24.037758,0.011363636363636364,88.0,0.0,29.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,125,67,730.92608,91365.76,87,38,31.977951,0.29850746268656714,67.0,2.289473684210526,30.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,689,301,766.7829027576198,528313.42,137,552,129.33009467,1.0,301.0,0.24818840579710144,33.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,411,297,552.0850851581508,226906.97,72,339,51.02067149,1.0,297.0,0.21238938053097345,32.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,603,335,963.6022222222223,581052.14,190,413,119.87578636,0.7432835820895523,335.0,0.4600484261501211,37.0,Fear,Fear,Frequent,Small size,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,97,97,887.6931958762888,86106.24,0,97,30.137128,1.0,97.0,0.0,39.0,Fear,Fear,Frequent,Small size,Inconsistent
